Candidate Name,Electoral District,LastName,Riding Number,Party,RidingLastName
Doug Holyday,Etobicoke--Lakeshore,Holyday,24,Progressive Conservative Party of Ontario,24Holyday
Ihor Lytvyn,Etobicoke--Lakeshore,Lytvyn,24,Ontario Moderate Party,24Lytvyn
Jeff Merklinger,Etobicoke--Lakeshore,Merklinger,24,Freedom Party of Ontario,24Merklinger
Peter Milczyn,Etobicoke--Lakeshore,Milczyn,24,Ontario Liberal Party,24Milczyn
Angela Salewsky,Etobicoke--Lakeshore,Salewsky,24,Green Party of Ontario,24Salewsky
Mark Wrzesniewski,Etobicoke--Lakeshore,Wrzesniewski,24,Ontario Libertarian Party,24Wrzesniewski
Grant Crack,Glengarry--Prescott--Russell,Crack,26,Ontario Liberal Party,26Crack
Darcy Donnelly,Glengarry--Prescott--Russell,Donnelly,26,Ontario Libertarian Party,26Donnelly
Marc-Antoine Gagnier,Glengarry--Prescott--Russell,Gagnier,26,INDEPENDENT,26Gagnier
Carl Leduc,Glengarry--Prescott--Russell,Leduc,26,Freedom Party of Ontario,26Leduc
Roxane Villeneuve Robertson,Glengarry--Prescott--Russell,Robertson,26,Progressive Conservative Party of Ontario,26Robertson
Isabelle Sabourin,Glengarry--Prescott--Russell,Sabourin,26,New Democratic Party of Ontario,26Sabourin
Raymond St.Martin,Glengarry--Prescott--Russell,St.Martin,26,Green Party of Ontario,26St.Martin
Juanita Burnett,Guelph,Burnett,27,Communist Party of Canada (Ontario),27Burnett
James Gordon,Guelph,Gordon,27,New Democratic Party of Ontario,27Gordon
Anthony MacDonald,Guelph,MacDonald,27,Progressive Conservative Party of Ontario,27MacDonald
Liz Sandals,Guelph,Sandals,27,Ontario Liberal Party,27Sandals
Mike Schreiner,Guelph,Schreiner,27,Green Party of Ontario,27Schreiner
Blair Smythe,Guelph,Smythe,27,Ontario Libertarian Party,27Smythe
Toby Barrett,Haldimand--Norfolk,Barrett,28,Progressive Conservative Party of Ontario,28Barrett
Anne Faulkner,Haldimand--Norfolk,Faulkner,28,Green Party of Ontario,28Faulkner
Ian Nichols,Haldimand--Norfolk,Nichols,28,New Democratic Party of Ontario,28Nichols
Karen Robinson,Haldimand--Norfolk,Robinson,28,Ontario Liberal Party,28Robinson
Don Abel,Haliburton--Kawartha Lakes--Brock,Abel,29,New Democratic Party of Ontario,29Abel
Arsalan Ahmad,Haliburton--Kawartha Lakes--Brock,Ahmad,29,Green Party of Ontario,29Ahmad
Rick Johnson,Haliburton--Kawartha Lakes--Brock,Johnson,29,Ontario Liberal Party,29Johnson
Laurie Scott,Haliburton--Kawartha Lakes--Brock,Scott,29,Progressive Conservative Party of Ontario,29Scott
Ted Chudleigh,Halton,Chudleigh,30,Progressive Conservative Party of Ontario,30Chudleigh
Susan Farrant,Halton,Farrant,30,Green Party of Ontario,30Farrant
Khalid (Kal) Ghory,Halton,Ghory,30,Ontario Libertarian Party,30Ghory
Indira Naidoo-Harris,Halton,Naidoo-Harris,30,Ontario Liberal Party,30Naidoo-Harris
Nik Spohr,Halton,Spohr,30,New Democratic Party of Ontario,30Spohr
Andrea Horwath,Hamilton Centre,Horwath,31,New Democratic Party of Ontario,31Horwath
Robert (Bob) Mann,Hamilton Centre,Mann,31,Communist Party of Canada (Ontario),31Mann
Peter Melanson,Hamilton Centre,Melanson,31,Freedom Party of Ontario,31Melanson
Peter Ormond,Hamilton Centre,Ormond,31,Green Party of Ontario,31Ormond
Donna Tiqui-Shebib,Hamilton Centre,Tiqui-Shebib,31,Ontario Liberal Party,31Tiqui-Shebib
John Vail,Hamilton Centre,Vail,31,Progressive Conservative Party of Ontario,31Vail
David Brown,Hamilton East--Stoney Creek,Brown,32,Progressive Conservative Party of Ontario,32Brown
Mark Burnison,Hamilton East--Stoney Creek,Burnison,32,Ontario Libertarian Party,32Burnison
Britney Johnston,Hamilton East--Stoney Creek,Johnston,32,Freedom Party of Ontario,32Johnston
Ivan Luksic,Hamilton East--Stoney Creek,Luksic,32,Ontario Liberal Party,32Luksic
Paul Miller,Hamilton East--Stoney Creek,Miller,32,New Democratic Party of Ontario,32Miller
Greg Zink,Hamilton East--Stoney Creek,Zink,32,Green Party of Ontario,32Zink
Brian Goodwin,Hamilton Mountain,Goodwin,33,Freedom Party of Ontario,33Goodwin
Greg Lenko,Hamilton Mountain,Lenko,33,Green Party of Ontario,33Lenko
Albert Marshall,Hamilton Mountain,Marshall,33,Progressive Conservative Party of Ontario,33Marshall
Javid Mirza,Hamilton Mountain,Mirza,33,Ontario Liberal Party,33Mirza
Monique Taylor,Hamilton Mountain,Taylor,33,New Democratic Party of Ontario,33Taylor
Hans Wienhold,Hamilton Mountain,Wienhold,33,Ontario Libertarian Party,33Wienhold
Jan Johnstone,Huron--Bruce,Johnstone,34,New Democratic Party of Ontario,34Johnstone
Max Maister,Huron--Bruce,Maister,34,Ontario Libertarian Party,34Maister
Colleen Schenk,Huron--Bruce,Schenk,34,Ontario Liberal Party,34Schenk
Lisa Thompson,Huron--Bruce,Thompson,34,Progressive Conservative Party of Ontario,34Thompson
Dennis Valenta,Huron--Bruce,Valenta,34,Equal Parenting Party,34Valenta
Adam Werstine,Huron--Bruce,Werstine,34,Green Party of Ontario,34Werstine
Sarah Campbell,Kenora--Rainy River,Campbell,35,New Democratic Party of Ontario,35Campbell
Anthony Leek,Kenora--Rainy River,Leek,35,Ontario Liberal Party,35Leek
Timothy McKillop,Kenora--Rainy River,McKillop,35,Green Party of Ontario,35McKillop
